brand_id,Product Category,tpt_sep_2025,tpv_sep_2025,tpt_aug_2025,tpv_aug_2025,tpt_jul_2025,tpv_jul_2025,tpt_jun_2025,tpv_jun_2025,tpt_may_2025,tpv_may_2025,tpt_apr_2025,tpv_apr_2025,tpt_mar_2025,tpv_mar_2025,tpt_feb_2025,tpv_feb_2025,tpt_jan_2025,tpv_jan_2025,tpt_dec_2024,tpv_dec_2024,tpt_nov_2024,tpv_nov_2024,tpt_oct_2024,tpv_oct_2024
BRN-0236-1666600705732,PLUGIN,8,"4,349,851",9,"4,652,326",12,"6,897,511",9,"5,211,067",4,"9,366,373",11,"6,784,111",13,"11,124,590",9,"7,414,088",4,"1,906,380",4,"6,246,389",12,"10,740,290",13,"11,810,453"
BRN-0201-1667810678854,PLUGIN,8,"29,140,000",19,"56,145,000",15,"70,335,000",10,"18,340,000",8,"35,200,000",8,"20,805,000",4,"36,120,000",4,"7,370,000",3,"15,950,000",2,"3,280,000",0,0,8,"31,070,000"
BRN-0204-1722595466181,PLUGIN,8,"4,630,500",5,"744,200",5,"941,800",5,"2,951,500",7,"3,386,500",7,"2,130,000",7,"1,063,400",6,"1,805,500",2,"284,000",6,"3,648,000",6,"7,497,000",2,"2,865,000"
BRN-0269-1707709150797,PLUGIN,8,"37,476,500",5,"46,478,000",14,"136,284,000",12,"115,476,000",7,"104,641,500",9,"63,803,830",9,"176,419,460",11,"112,802,250",4,"32,023,860",4,"22,596,750",4,"21,441,200",8,"50,699,000"
BRN-0255-1661332496482,PLUGIN,8,"5,264,100",7,"2,750,900",4,"3,965,000",2,"1,868,250",7,"6,441,000",5,"3,789,000",2,"2,840,000",1,"985,000",0,0,0,0,0,0,0,0
MCH-1695-1633580736199,PLUGIN,7,"7,085,000",8,"13,735,000",5,"12,495,000",7,"11,715,000",8,"13,305,000",6,"9,770,000",10,"11,625,000",5,"7,545,000",5,"9,620,000",2,"4,350,000",5,"8,880,000",3,"9,920,000"
BRN-0295-1685596465233,PLUGIN,6,"10,993,300",4,"6,057,750",20,"22,335,389",6,"9,139,792",16,"19,751,120",12,"12,061,800",8,"11,824,798",19,"23,449,609",11,"9,670,375",19,"21,769,997",48,"32,496,991",23,"16,142,079"
MCH-8028-1641803781093,PLUGIN,6,"25,583,200",11,"25,710,400",7,"26,017,100",7,"9,351,190",17,"30,929,140",9,"17,133,410",17,"27,316,690",8,"14,730,300",10,"34,356,790",12,"43,716,200",9,"15,440,120",3,"6,214,000"
BRN-0231-1663571525566,PLUGIN,5,"1,025,720",3,"812,645",3,"488,700",3,"922,223",4,"1,463,739",7,"1,406,310",6,"1,315,910",12,"1,818,391",18,"2,975,971",20,"4,249,199",26,"5,632,186",31,"6,430,070"
BRN-0263-1669624036317,PLUGIN,5,"8,430,421",2,"468,000",1,"780,000",2,"880,000",1,"3,030,000",1,"440,000",0,0,1,"210,000",2,"2,000",0,0,0,0,0,0
BRN-0266-1728529188816,PLUGIN,4,"4,858,970",6,"7,592,500",3,"3,135,900",8,"5,611,675",4,"7,365,766",6,"8,247,265",4,"4,047,571",6,"8,618,478",4,"3,542,200",4,"9,367,500",10,"11,900,480",9,"4,452,200"
MCH-1401-1643361283078,PLUGIN,4,"6,240,000",0,0,0,0,3,"7,800,000",24,"90,064,000",18,"69,680,000",17,"26,460,000",7,"10,920,000",2,"3,120,000",2,"2,560,000",6,"9,360,000",1,"1,560,000"
